Domain	Source Sentence	Reference Translation	Google Translate	Yandex Translate
news	የቱርክ ትምህርት ቤቶች ለጀርመን ባለሀብቶች በሽያጭ እንደተላለፉ መሥራቾቹ አስታወቁ ለቱርክ መንግሥት እንደሚተላለፉ መንግሥት አስታውቆ ነበር	Though the Turkey Government has announced that the schools in the country will be given to the government, the owners have announced that the schools have been sold to German investors	Turkey announced on Tuesday that the Turkish schools would be sold to German investors.	Vasari's first local investment houses for sale ballots of the German intel Education disclosed the nature of the kingdom of flowers was anisometropia assistance
news	የአንድ ታላቅ ሰው ታሪክ	The story of someone great	The story of a great man	The greatest man of history
news	የአዲስ አበባ ቄራዎች ድርጅት ለዘመን መለወጫ በዓል በቂ ዝግጅት ማድረጉን ገለፀ	Addis Ababa Abattoirs Enterprise have announced their full preparation for the upcoming holiday.	The Addis Ababa Chamber of Commerce announced that it has made sufficient preparations for the New Year&#39;s celebration	Addis Ababa abbatoirs ገለፀ enough that the head of the event
news	ባለፉት 6 ወራት ከወጪ ንግድ 1 ነጥብ 37 ቢሊየን ዶላር ተገኝቷል	In the past 6 month 1.37 Billion USD  profit was made from export business	In the last 6 months, $ 1.37 billion has been earned from export trade	Over the past 37 6 months USD 1 million costs in business activity.
news	10ኛው የአሜሪካ - አፍሪካ ቢዝነስ መድረክ ከሰኞ ጀምሮ በአዲስ አበባ ይካሄዳል	The 10th America - Africa trade conference will be held in Addis Ababa starting from Monday.	The 10th American - Africa Business Forum will be held in Addis on Monday	10 U.S. - Africa Business Forum in Addis Ababa Monday through the country.
news	ልማት ባንክ በማምረቻ ዘርፍ ለሚሰማሩ ባለሀብቶች 70 ቢሊዮን ብር ብድር አዘጋጀ	Lemat Bank has allocated 70 Billion birr loan for investors working on production area	Development Bank has issued 70 billion birr loan to investors engaged in manufacturing sector	The bank loan of which 70 ballots in the summers he prepared a lunisolar
news	የጎዴ ከተማ ነዋሪዎች የመሰረተ ልማት ጥያቄዎቻቸው እንዲፈቱላቸው ጠየቁ	Residents in Gode shared their complaint about the infrastructure in the area	The people of Goode City asked for their infrastructure requests to be resolved	The residents of the city of God demands, the candidature of the questions
news	የሥራ ዕድል ባለማግኘታቸው ቅሬታ እንደፈጠረባቸው በደቡብ ወሎ ዞን በማህበር የተደራጁ ወጣቶች ገለጹ	The youth in South Wolo have shared their complaint about the lack of job opportunity	The youth organized by the union in South Wollo Zone have complained of lack of employment opportunities	Independentei opportunity for the complaint to lateral in the best interests for the youth in Addis Ababa yesterday
news	ድርጅቱ የገነባው የሩዝ ማቀነባበሪያ ፋብሪካ አገሪቱ ከግብርና ወደ ኢንዱስትሪ ለምታደርገው ሽግግር ሁነኛ ማሳያ ነው	The rice processing factory built by the organization proves to play a key role in the country's transition from Agriculture to Industrial way of production.	The rice processing plant the company built is a prime example of the country&#39;s transition from agriculture to industry.	The generation of rice in the country and to the agriculture industry magnetola very lumnaderm view of the transfer of
news	ነባር የማኑፋክቸሪንግ መሬት ጥያቄዎች በተናጠል እንዲስተናገዱ ተወሰነ	It was decided that the existing manufacturing land claims would be handled separately	It was decided that the existing manufacturing land claims would be handled separately	In Ethiopia, existing in a particular listener questions corporately and individually
news	የደረጃ ምልክት የማይጠቀሙ ውሃ አምራቾች ላይ ህጋዊ እርምጃ ይወሰዳል- የንግድ ሚኒስቴር	Legal action will be taken against water producers that do not use the standard mark - Ministry of Commerce	Legal action will be taken against water producers who do not use the standard mark - the Ministry of Commerce	Sign of the imaginary countries in Africa for legal action as it - business affairs
news	በኦሮሚያ ክልል ሰሜን ሽዋ ዞን የቡና ልማት በእጥፍ ለማስፋፋት እየተሰራ ነው	North Shoa Zone of Oromia State is working to double its coffee development	The North Shoa Zone of Oromia is working to double its coffee development	From the capital of the North region will be active in the development, he said
news	በቆላማ አካባቢ ከደጋው በሶስት እጥፍ የሚበልጥ የስንዴ ምርት እንደሚገኝ በሰርቶ ማሳያ ተረጋገጠ	It was confirmed by demonstration that in the lowland area, three times as much wheat would be harvested compared to the highlands	It was confirmed by demonstration that in the lowland area, three times as much wheat would be found in the highlands	Three times it come from local production in the region, for he is of the view that the
news	በከተሞች የህብረተሰቡ ተጠቃሚነትን ለማረጋገጥ በትኩረት እንደሚሰራ ተገለጸ	It is announced that work will be done to ensure the benefit of the community in the cities	He said he would work hard to ensure the benefit of the community in the cities	It is in the works to ensure that the focus is on The ተገለጸ
news	ንብ ኢንተርናሽናል ባንክ ባለ 37 ፎቅ የዋና መስሪያ ቤት ህንጻ በአዲስ አበባ ሊያስገነባ ነው	Nib International Bank is about to build a 37-story headquarters building in Addis Ababa	NB International Bank is about to build a 37-story headquarters building in Addis Ababa	37 the main floor of the International Bank, Ethiopia-Addis Ababa can be viewed in a building of assignable
news	በአገር ውስጥ ሠርቶ የመለወጥ ተምሳሌቱ ባለራዕይ ወጣት	A visionary young man with a vision of work and change locally	A visionary young man with a vision of working locally	In the region, change in the young tomato revelation
news	የኢትዮጵያ ገቢዎችና ጉምሩክ ባለስልጣን በሩብ ዓመቱ ከ36 ነጥብ 9 ቢሊየን ብር መሰብሰቡን ገለፀ	The Ethiopian Revenue and Customs Authority said it collected 36.9 billion birr in the quarter	The Ethiopian Revenue and Customs Authority said it collected 36.9 billion birr in the quarter	The Ethiopian Revenue Customs Authority 36 point quarter of the year Meselson 9 million ገለፀ
news	ለመሪዎችና ለዝነኞች ጌጣጌጦች በመስራት የተሳካላቸውአባትና ልጅ	successful father and son working jewelry for leaders and celebrities	A successful father and son working for ornaments and celebrities	Gotsagalatino to the leaders of theresonant generates
news	ዘመናዊና ቀልጣፋ የግብር አሰባሰብ ስርዓት መዘርጋት ለመንግስት በጀት ውጤታማነት ቁልፍ ጉዳይ ነው -የቋሚ...	Establishing a modern and efficient tax collection system is key to the success of the government budget ...	Establishing a modern and efficient tax collection system is key to the success of the government budget ...	Modern tax collection system and they are the key of productivity in Ethiopia and the government-he added...
news	ፍትሃዊነትና እኩል ተጠቃሚነት	Justice and Equity	Equity and equal opportunity	Forthwith as equal
news	የመቀሌ ከተማ አስተዳደር መሬት ወስደው ባላለሙ ባለሀብቶች ላይ እርምጃ ሊወስድ ነው	Mekelle city administration is about to take action against investors who have not started work after taking land	Mekelle city administration is about to take action against investors who have not taken land	The city of Temecula Palm of ballots, it may take measures it ወስደህ
news	የኢትዮጵያ ንግድ ባንክ ጠቅላላ ሀብቱ 242 ቢሊዮን መድረሱን አስታወቀ	Commercial Bank of Ethiopia announced that its total assets have reached 242 billion	Commercial Bank of Ethiopia announced that its total assets have reached 242 billion	242 the business of the said Bank in the total
news	አዳማና የኢንቨስትመንት ብሩህ ተስፋዋ	Adama and her investment prospects	Adam and her investment prospects	And in the bright testdata Astana
news	በጎባ በጥቃቅንና አነስተኛ ዘርፍ የተሰማሩ ወጣቶች ውጤታማ ሲሆኑ ጋሰራዎቹ ሁኔታዎች አልተመቻቸልንም አሉ	In Goba, the youth in the small-scale sector were successful and the galleries were unsuccessful	He said that in Gaba, the youth in the small-scale sector were successful and the galleries were unsuccessful	Productivity for micro and small we the the conditions Young said that measures acetaminophen
news	ኢንቨስተሮች አዲሱን የልማት ባንክ የብድር መመርያ ተቃወሙ	Investors opposed the new development bank loan guidance	Investors opposed the new Development Bank&#39;s credit guidance	The new business companies bank on the memory of the team
news	«የቅባትና የጥራጥሬ ምርቶች በአቅርቦትና በዓለም ገበያ ይፈተናሉ»- አቶ ሙሉጌታ መሐመድ የቅባት እህሎችና የጥራጥሬ ምርቶች ግብይት ዳይሬክተር	"Oil and Beverage Products Tested in Supply and World Market" - Mulugeta Mohammed	&quot;Oil &amp; Beverage Products Tested in Supply and World Market&quot; - Mulugeta Mohammed	"It supplies products, oil seeds generate in Ital in the world"- the president of the marketing products generate the castor beans
news	የግብዓት ጥራት ችግር- የጨርቃ ጨርቅ ዘርፍ ተግዳሮት	Input quality problem: The challenge of the textile sector	Input quality problem: The challenge of the textile sector	The quality of the input - we will continue the work in the
news	ኢትዮጵያ የኢ-ቪዛ አገልግሎት ጀመረች	Ethiopia launches e-Visa service	Ethiopia launches e-Visa service	And in-service started and the visa
news	ጣሊያናዊውን ወጣት በመግደል የተጠረጠረው ግለሰብ በቁጥጥር ሥር ዋለ	A man suspected of killing an Italian youth has been arrested.	A man suspected of killing an Italian teenager has been arrested	Ballanation', the young person used in the temperature of the root
news	የሒልተን ሆቴል አስተዳደርና የሠራተኛ ማኅበር እየተወዛገቡ ነው	The management and work union of Hilton hotel are in dispute.	The management of the Hilton Hotel and the Labor Union are in contention	The staff of hotel Helena is either the
news	ታዳጊዋን በስለት ወግቶ ገድሏል የተባለው ወጣት ተከሰሰ	A young man who stabbed a teenage girl to death has been accused.	The young man who allegedly stabbed and killed her teenager has been charged	Young teen Modell that besplatnu get his titles
news	አገልግሎቱን ያዘመነው ዓይደር ሆስፒታል	Eider hospital, keeping its service up-to-date	Elder Hospital, which updated the service	Easements for the service user to a hospital
news	ዶክተር ደሳለኝ - ሥራን ከሕይወታቸው ያቆራኙ ሁለገብ ምሑር	Dr Desalegne , an all-round scholar whose life is deeply engaged with work.	Dr. Dessale - a versatile scholar who has put work away from their lives	The construction of The - an elite actors in their comprehensive work
news	ስኳር ኮርፖሬሽን በአገሪቱ የስኳር እጥረት የለም አለ	Sugar corporation says there is no shortage of sugar in the country.	Sugar Corporation says there is no shortage of sugar in the country	The corporation the corporation the corporation the country, said the there is no
news	ከ800 ሺሕ በላይ ሰዎች ለመተንፈሻ አካል በሽታ ተጋልጠዋል ተባለ	More than 800 thousand people are said to have been exposed to respiratory disease.	More than 800,000 people are said to have been exposed to respiratory disease	More than 800 cemeteries in the thousands tagliatelle body disease
news	አምባሳደር እንዲሆኑ የሚጠበቁት ሆቴሎች	Hotels that are expected to be ambassadors	Hotels expected to be ambassadors	Hotels that expected to be the
news	የባሕር ዳር ወወክማ በ49 ሚሊዮን ብር አዲስ ማዕከል ሊያስገነባ ነው	Bahirdar’s YMCA to build new center with 49 million birr.	The Coast Guard is about to build a new center at 49 million birr	The end-to-end 49 can be touchy in the center of new assignable
news	በትምህርት ጥራትና ሥነ ምግባር ዙሪያ የአዲስ አበባ 35 ሺሕ መምህራን ሥልጠና ላይ ናቸው	Around 35 thousand teachers in Addis Ababa are participating in a training program focusing on education quality and ethics.	Addis Ababa&#39;s 35,000 teachers are in training on quality and ethics	The quality of education for the training 35 teachers in Addis Ababa, thousands are
news	“ለምን ምሳ አብረን አንበላም…”	Why don’t we have lunch together?	&quot;Why don&#39;t we eat lunch together ...&quot;	“Together, e.g., by the Bentley...”
news	በ2010 በጀት ዓመት ከውጭ አገር ጎብኚዎች 3 ነጥብ 5 ቢሊዮን ዶላር ገቢ ተገኝቷል	3.5 billion dollars have been earned from foreign tourists throughout the 2010 fiscal year.	In 2010, $ 3.5 billion was earned from foreign tourists	In the 2010 budget year visitors revenue USD 3 billion in 5 point
news	በተለያዩ መጠሪያዎች የሚከበረው የሴቶች በዓል	the women’s holiday celebrated by many names	Female Celebrity Celebration	The different titles for Jesus found in women
news	የላስታ ላሊበላ ቅኝት	visit to Lasta Lalibela	Lista Lalibela Survey	The loan review Laliberte
news	የጥምቀት በዓልን በፍቅር፣ በመቻቻልና በመረዳዳት ማክበር ይገባል….የደቡብ ወሎ ዞን ሀገረ ስብከት	Epiphany should be celebrated with love, tolerance and understanding… the Diocese of South Wollo	Celebration of Baptism with love, tolerance and help ... South Wollo Zone Diocese	The love of baptism, it is to comply with the cameraat Semanal....Here in the South preaching the best interests
news	የህይወታችን ‘ኦልዲስ’ ፊልሞች…	the “oldies” movies of our lives	The &#39;Odyssey&#39; of our lives ...	Our ‘oldies’ movies...
news	ሰኞ የሚብተው የኢትዮጵያ 2010 እና 2018 ዘመን	the Ethiopian year of 2010 and 2018 coming on Monday …	Monday 2010 and 2018 EST	The emitters of the 2010 and 2018 Monday
news	‹‹የሁለት አገር ጀግና››	“the hero of two nations”	ግና Hero of two countries ››	""One country two""
news	ከ20 ዓመት በኋላ በአክሱም ህዳር ጽዮን በዓል መሳተፋችን ከፍተኛ ደስታ ተሰምቶናል – ኤርትራዊያን	We are very thrilled to participate in the Axum Zion celebration after twenty years. – Eritreans	We are overjoyed to participate in the Axum November Zion Festival 20 years later - Eritrean	Nov 20 after years have felt the joy of the Zion High musatyan account – at a time when
news	የኢሬቻ በዓል እንግዶችን በመልካም ለማስተናገድ ተዘጋጅተናል-የቢሾፍቱና አካባቢዋ ነዋሪዎች	We are prepared to receive the participants of the Erecha festivities. – people living in and around Bishoftu	Eurecha Festival is set to host guests well: the residents of Bishoftu and its surroundings	The fires in the guests to thegeneral-in actuality Fisherton
news	መጪዎቹን ባህላዊና ሃይማኖታዊ በዓላት ለመታደም ወደ አገር ቤት የሚመጡ ኢትዮጵያዊያንን ለመቀበል ዝግጅት ተጀምሯል	Preparations have started to welcome Ethiopians who are coming home to attend the coming cultural and religious holidays.	Preparations are underway to welcome Ethiopians returning home to attend upcoming cultural and religious festivals	Cultural and religious holidays to the lemonade section of the country come to the event to receive their rights to the people.
news	12ኛው የኢትዮጵያ ኢንተርናሽናል ፊልም ፌስቲቫል	The 12th Ethiopian international film festival	12th Ethiopian International Film Festival	12 the International in New York
news	ሁለተኛው አገር አቀፍ የባህልና ጥበብ አውደጥናት በወልድያ ዩኒቨርሲቲ ተካሄደ	The second nation-wide cultural and arts exhibition has been done at Woldia University.	The second national cultural and art workshops were held at Weldon University	Second international culture and the wisdom Audemars Wendy Addis Ababa University
news	የአፄ ምኒልክን ታሪክ ተጭበርብረናል!?	Are we duped about the history of Emperor Minilik!?	Have we cheated the history of Emperor Menelik ?!	While history of the temperance fate!?
news	በቡራዩ የመልካ አቴቴ በዓል እየተከበረ ነው	The Melka Attette Holiday is being celebrated at Burayu.	Celebrating the festival of Malta Atate	Either of the umelecka Bauru Atta
news	በሃገር አቀፍ ደረጃ ለሚከበረው የዓለም የቱሪዝም ቀን ዝግጅቱ ተጠናቋል—የጋምቤላ ክልል ባህልና ቱሪዝም ቢሮ	The preparation for international tourism day which is to be celebrated at national level is completed- Gambela Region Tourism Office	Preparations are finalized for the International Tourism Day in Gambella	For the local international World Tourism Day event Tatnall—the Gambela region culture and Tourism Bureau
news	ለራስ ስንቆርስ ባናሳንስ	Let's not underestimate ourselves	When we cut ourselves, we don&#39;t	Panasonic auto sensors
news	የአድዋ ድልና የሰባት ቤት አገው ፈረሰኞች ምንና ምን ናቸው?	The victory of Adowa and the Sebat Bet Agew, How are they related?	What are the cavalry and the cavalry of Adwa?	The victory of August said that the seven Q: What are persons?
news	በተመድ የኢትዮጵያ ቋሚ መልዕክተኛ አምባሳደር ታዬ አጽቀስላሴ የሹመት ደብዳቤያቸውን አቀረቡ	Ethiopian Permanent Envoy Ambassador in Tamad Mr. Taye Esqeslasie handed an investiture letter	Ambassador Taye Atsenlassie, a Permanent Representative to the United Nations, presented his nomination letter	The permanent polling stations visited by the "Bad Robot" for the unseen actresses in the suit that he Sodeau
news	አየር መንገዱ ወደ ስፔን ማድሪድ በረራ ጀመረ	The Airline started Madrid, Spain flights	The airline flew to Spain to Spain	The weather began flying to Spain Madrid
news	አርሶ አደሩን ከቴክኖሎጂ የማስተሳሰር እርምጃ	An initiative to engage farmers with technology	Action to link farmers to technology	The farmer of the technology and that their
news	ድንችና ካሳቫ የበሉት ሙሴቬኒ 30 ኪሎ ቀነሱ	Museveni loss 30 kilos after eating potato and cassava	Musavini, who ate potatoes and cassava, lost 30kg	Museveni seems to cassava in four 30 density
news	የእንስሳት ክትባት በአቅራቢያችን ማግኘታችን የእንስሶቻችንን ጤና ለመጠበቅ አስችሎናል.. አርሶ አደሮች	finding closer access to animal vaccines contributes to our healthy animals…...Farmers	Having a vet vaccine nearby helped us keep our animals healthy	Beastiality animal health vaccinations to protect the dam from the actions the Dagestan fitnessone..
news	‹‹ከሱስ የነፃ ትውልድ የመፍጠር ጥበብ›› ዛሬ ይመረቃል	<Kesus free-generation enhancing wisdom> inaugurates today	ጥበብ The Art of Creating a Free Generation from Addiction ይመረ Graduates today	""Of course it's free to create wisdom"" Americans today
news	ለብይን ተቀጥረው ያለፍርድ ቤት ዕውቅና የተለቀቁት ተጠርጣሪ ጉዳይ ፍርድ ቤቱን አስቆጣ	Appointed for sentence, released without the consent of the court, leaves the court displeased	The indictment, which was released without trial, was dismissed by the court	Login human resource are taken into custody by the court and the court of tecomat telecommute
news	ቢሮው በመዲናዋ ታሪካዊ ቅርስነት የተመዘገቡ ዕድሜ ጠገብ ቤቶች ደህንነት እንዳሳሰበው ገለጸ	The office says  it was concerned about the safety of older homes registered in the city's historic heritage.	The office said it was concerned about the safety of older homes registered in the city&#39;s historic heritage	Registered office houses the historical age began bending said First Security Andalou
news	ተቃዋሚዎችን የማማከር አገልግሎት ልጀምር ነው! (በክፍያ)	opponents consultation service will be launched. (on payment)	I&#39;m about to start a Counseling Service! (Per charge)	I thought I'd start with the opposition of your image! (Payment)
news	ለስራ ዕድል ፈጠራ ስኬታማነት ጉዳዩ የሚመለከታቸው አካላት በትኩረት ሊሰሩ እንደሚገባ ተገለፀ	An announcement for the concerned party to focus on employment opportunity creation success	It was stated that the parties concerned should work closely for the success of job creation	If you see the opportunity for creativity achievement in work the focus is on the subject of the vote
news	20ኛው የአፍሪካ አትሌቲክስ ሻምፒዮና ከነገ በስቲያ ይጀመራል	the 20th African Athletics Championship launches the day after tomorrow	The 20th edition of the African Athletics Championship will begin tomorrow in Stia	According to the road development sector in Bosnia 20 ይጀመራል athletic
news	ከአገራቱ የጉዞ ማስጠንቀቂያ በስተጀርባ	behind country’s travel warnings	Behind the nation&#39;s travel warning	Besiegers and travel alert warning
news	የአማራ ክልል ከጎበኝዎች ከ1 ነጥብ 5 ቢሊየን ብር በላይ ገቢ ማግኘቱን አስታወቀ	Amara region receives 1.5 billion ETB from tourists	The state of Amhara has earned over 1.5 billion birr from visitors	Amhara and ketobemidone point 1 to 5 million birr revenue said.
news	የማህፀን ፈንገስ ኢንፌክሽን (Vaginal Candidiasis)	Vaginal Candidiasis/ Womb fungus infection	Vaginal Candidiasis	Infections like this type trans (Vaginal Candidiasis)
news	ከ17 አመት በታች ሴቶች ብሄራዊ ቡድን በሳምንቱ መጨረሻ ለአለም ዋንጫ ማጣርያ ዝግጅት ይጀምራል	The under 17 women national team starts world cup qualifying by the end of the week	The Under-17 Women&#39;s National Team will start preparing for the World Cup screening this weekend	17-year-old national group of women under the world event thing is to begin Africa Cup of Nations last week
